Date,Species,Latitude,Longitude,WnvPresent,month,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS
2007-05-29,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,0,5,0,1,0,0,0,0
2007-05-29,CULEX RESTUANS,41.95469,-87.800991,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.994991,-87.769279,0,5,0,0,1,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,0,5,0,1,0,0,0,0
2007-05-29,CULEX RESTUANS,41.974089,-87.824812,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.9216,-87.666455,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.891118,-87.654491,0,5,0,0,1,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,0,5,0,1,0,0,0,0
2007-05-29,CULEX RESTUANS,41.867108,-87.654224,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.896282,-87.655232,0,5,0,0,1,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,0,5,0,1,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,0,5,0,1,0,0,0,0
2007-05-29,CULEX RESTUANS,41.921965,-87.632085,0,5,0,0,1,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,0,5,0,1,0,0,0,0
2007-05-29,CULEX RESTUANS,41.688324,-87.676709,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.862292,-87.64886,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.720848,-87.666014,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.731922,-87.677512,0,5,0,0,1,0,0,0
2007-05-29,CULEX PIPIENS,41.731922,-87.677512,0,5,1,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.891126,-87.61156,0,5,0,1,0,0,0,0
2007-05-29,CULEX RESTUANS,41.891126,-87.61156,0,5,0,0,1,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.999129,-87.795585,0,5,0,1,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,42.01743,-87.687769,0,5,0,1,0,0,0,0
2007-05-29,CULEX RESTUANS,41.907645,-87.760886,0,5,0,0,1,0,0,0
2007-05-29,CULEX RESTUANS,41.732984,-87.649642,0,5,0,0,1,0,0,0
