Date,NumMosquitos,WNV_mosquitos,rate
2007-05-29,40,0,0.0
2007-06-05,127,0,0.0
2007-06-26,216,0,0.0
2007-06-29,85,0,0.0
2007-07-02,240,0,0.0
2007-07-11,1103,0,0.0
2007-07-18,853,50,0.0586166471278
2007-07-19,687,0,0.0
2007-07-25,4069,250,0.0614401572868
2007-07-27,247,0,0.0
2007-08-01,6904,473,0.0685110081112
2007-08-02,2898,107,0.0369220151829
2007-08-03,204,0,0.0
2007-08-07,1780,308,0.173033707865
2007-08-08,4186,278,0.0664118490205
2007-08-09,507,41,0.0808678500986
2007-08-15,4661,926,0.198669813345
2007-08-16,4555,776,0.170362239297
2007-08-17,1915,308,0.160835509138
2007-08-21,1667,503,0.30173965207
2007-08-22,4512,1315,0.291445035461
2007-08-24,1478,442,0.299052774019
2007-08-28,4748,379,0.0798230834035
2007-09-04,524,48,0.0916030534351
2007-09-05,2021,251,0.124195942603
2007-09-06,1511,71,0.0469887491727
2007-09-12,1193,42,0.035205364627
2007-09-18,392,0,0.0
2007-09-19,1756,26,0.0148063781321
2007-09-24,1570,100,0.0636942675159
2007-09-25,333,0,0.0
2007-10-04,1373,20,0.0145666423889
2007-10-09,333,0,0.0
2009-05-28,190,0,0.0
2009-06-02,663,0,0.0
2009-06-03,348,0,0.0
2009-06-05,257,0,0.0
2009-06-12,1204,0,0.0
2009-06-15,345,0,0.0
2009-06-19,701,0,0.0
2009-06-22,2171,0,0.0
2009-06-26,798,0,0.0
2009-06-29,903,0,0.0
2009-07-06,719,0,0.0
2009-07-10,996,0,0.0
2009-07-13,1369,0,0.0
2009-07-17,1893,0,0.0
2009-07-24,1215,88,0.0724279835391
2009-07-27,1482,20,0.0134952766532
2009-07-31,1159,50,0.0431406384814
2009-08-07,878,0,0.0
2009-08-13,602,30,0.0498338870432
2009-08-25,691,187,0.270622286541
2009-08-27,175,0,0.0
2009-09-03,129,5,0.0387596899225
2009-09-14,563,19,0.0337477797513
2009-09-17,743,0,0.0
2009-09-25,702,1,0.0014245014245
2009-10-01,212,0,0.0
2011-06-10,429,0,0.0
2011-06-17,830,0,0.0
2011-06-24,846,0,0.0
2011-06-30,1944,0,0.0
2011-07-11,2091,0,0.0
2011-07-15,2497,0,0.0
2011-07-25,2449,74,0.0302164148632
2011-07-29,1408,195,0.138494318182
2011-08-05,1065,96,0.0901408450704
2011-08-12,824,226,0.27427184466
2011-08-19,589,88,0.149405772496
2011-08-26,490,63,0.128571428571
2011-09-01,319,89,0.278996865204
2011-09-02,551,48,0.0871143375681
2011-09-12,734,80,0.108991825613
2011-09-16,821,61,0.074299634592
2011-09-23,728,173,0.237637362637
2011-09-30,184,0,0.0
2013-06-07,360,0,0.0
2013-06-14,1670,0,0.0
2013-06-21,1319,0,0.0
2013-06-27,439,0,0.0
2013-06-28,923,38,0.0411700975081
2013-07-08,1833,0,0.0
2013-07-12,4796,198,0.0412844036697
2013-07-19,4168,515,0.123560460653
2013-07-25,1974,21,0.0106382978723
2013-08-01,2865,706,0.246422338569
2013-08-08,3188,934,0.292973651192
2013-08-15,1946,506,0.260020554985
2013-08-22,2063,528,0.255937954435
2013-08-29,2645,1070,0.404536862004
2013-09-06,2510,918,0.365737051793
2013-09-12,2210,576,0.260633484163
2013-09-19,1030,150,0.145631067961
2013-09-26,505,52,0.10297029703
