Date,Last7Average_Temp,Last7Average_Windspeed,Last7Total_Rainfall,Last14Average_Temp,Last14Average_Windspeed,Last14Total_Rainfall,Last7Average_Daylight,Last14Average_Daylight,Last7Average_Departure,Last14Average_Departure,Species,Latitude,Longitude,WnvPresent,month,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,0,5,0,1,0,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.95469,-87.800991,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.994991,-87.769279,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,0,5,0,1,0,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.974089,-87.824812,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.9216,-87.666455,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.891118,-87.654491,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,0,5,0,1,0,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.867108,-87.654224,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.896282,-87.655232,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,0,5,0,1,0,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,0,5,0,1,0,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.921965,-87.632085,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,0,5,0,1,0,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.688324,-87.676709,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.862292,-87.64886,0,5,0,0,1,0,0,0
2007-05-29,67.5714285714,10.0142857143,1.07,63.7857142857,10.2642857143,1.66,890.714285714,884.357142857,5.71428571429,3.0,CULEX RESTUANS,41.720848,-87.666014,0,5,0,0,1,0,0,0
