,Date,Records,More
T903,2008-06-11,8,
T903,2008-06-17,8,
T903,2008-06-24,8,1
T903,2008-07-01,8,1
T903,2008-07-04,8,1
T903,2008-07-11,8,1
T903,2008-07-14,8,1
T903,2008-07-21,8,1
T903,2008-07-23,8,1
T903,2008-07-24,8,1
T903,2008-07-28,8,1
T903,2008-07-29,8,1
T903,2008-08-04,8,1
T903,2008-08-05,8,1
T903,2008-08-12,8,1
T903,2008-08-13,8,1
T903,2008-08-19,8,1
T903,2008-08-25,8,1
T903,2008-08-26,8,1
T903,2008-09-02,8,1
T903,2008-09-03,8,1
T903,2008-09-09,10,1
T903,2008-09-15,8,1
T903,2008-09-19,8,1
T903,2008-09-29,8,
T903,2010-06-02,8,
T903,2010-06-11,8,
T903,2010-06-18,8,1
T903,2010-06-25,8,1
T903,2010-06-28,8,1
T903,2010-07-01,8,1
T903,2010-07-02,8,1
T903,2010-07-12,10,
T903,2010-07-13,8,1
T903,2010-07-16,8,1
T903,2010-07-19,8,1
T903,2010-07-23,8,1
T903,2010-07-26,8,1
T903,2010-07-29,8,1
T903,2010-07-30,8,1
T903,2010-08-05,8,1
T903,2010-08-06,8,1
T903,2010-08-13,8,1
T903,2010-08-19,8,1
T903,2010-08-20,8,1
T903,2010-08-26,8,1
T903,2010-08-27,8,1
T903,2010-09-02,8,1
T903,2010-09-10,8,
T903,2010-09-13,8,1
T903,2010-09-16,8,1
T903,2010-09-17,8,1
T903,2010-09-23,8,1
T903,2010-09-24,8,1
T903,2010-10-01,8,1
T903,2012-06-08,8,
T903,2012-06-15,8,1
T903,2012-06-21,8,1
T903,2012-06-29,8,
T903,2012-07-09,8,
T903,2012-07-13,11,1
T903,2012-07-19,8,1
T903,2012-07-20,10,1
T903,2012-07-27,10,1
T903,2012-08-03,13,1
T903,2012-08-09,8,1
T903,2012-08-10,10,1
T903,2012-08-16,8,1
T903,2012-08-17,11,1
T903,2012-08-23,8,1
T903,2012-08-24,9,1
T903,2012-08-30,8,1
T903,2012-08-31,9,1
T903,2012-09-10,9,
T903,2012-09-13,8,1
T903,2012-09-20,8,1
T903,2012-09-28,8,
T903,2014-06-05,8,
T903,2014-06-12,8,1
T903,2014-06-19,8,1
T903,2014-06-26,8,1
T903,2014-07-03,8,1
T903,2014-07-10,8,1
T903,2014-07-17,8,1
T903,2014-07-24,8,1
T903,2014-07-31,8,1
T903,2014-08-07,8,1
T903,2014-08-14,8,1
T903,2014-08-21,8,1
T903,2014-08-28,8,1
T903,2014-09-05,8,
T903,2014-09-11,8,1
T903,2014-09-18,8,1
T903,2014-09-25,8,1
T903,2014-10-02,8,1
